appid,type,genre,metacritic,recommendations
2579100,,,,
2579110,game,Casual,,
2579150,game,,,
2579160,music,,,
2579180,game,Strategy,,
2579200,dlc,Adventure,,
2579210,demo,,,
2579230,,,,
2579270,game,Adventure,,
2579280,game,Adventure,,
2579290,music,,,
2579310,dlc,Adventure,,
2579380,game,Adventure,,
2579400,game,Casual,,
2578420,game,Adventure,,
2578430,game,Casual,,
2578450,demo,,,
2578460,game,Action,,
2578470,demo,,,
2578480,game,Adventure,,
2578510,game,Action,,
2578520,,,,
2578530,game,Action,,
2578550,game,Adventure,,
2578630,game,Action,,
2578640,game,Action,,
2578650,game,Action,,
2578660,game,Action,,
2578690,game,Action,,
2578700,game,Action,,
2578710,game,Adventure,,
2578730,dlc,Casual,,
2578740,game,Adventure,,
2578750,game,Adventure,,
2578760,game,Action,,
2578770,demo,,,
2578780,,,,
2578790,game,Action,,
2578800,game,Action,,
2578810,game,Action,,
2578820,game,Casual,,
2578830,game,RPG,,
2578860,game,Adventure,,
2578880,game,Adventure,,
2578900,game,Action,,
2577910,game,Action,,
2577920,dlc,Adventure,,
2577930,dlc,Casual,,
2577950,demo,,,
2577960,demo,,,
2577970,demo,,,
2577980,game,Action,,
2577990,demo,,,
2578010,game,Action,,
2578030,demo,,,
2578040,game,Action,,
2578050,game,Casual,,
2578060,game,Action,,
2578070,demo,,,
2578100,music,,,
2578110,game,Indie,,
2578120,demo,,,
2578130,game,Action,,
2578160,game,Action,,
2578180,game,Adventure,,
2578200,game,,,
2578220,game,Action,,
2578230,demo,,,
2578250,game,Adventure,,
2578270,game,Action,,
2578280,game,Casual,,
2578330,demo,,,
2578340,game,Indie,,
2578350,game,Action,,
2578360,game,Indie,,
2578380,,,,
2578400,game,Casual,,
2577410,game,Adventure,,
2577420,game,Strategy,,
2577430,game,Action,,
2577460,demo,,,
2577470,demo,,,
2577490,game,Action,,
2577510,game,Adventure,,
2577520,game,Indie,,
2577530,demo,,,
2577550,game,Casual,,
2577560,demo,,,
2577580,,,,
2577640,game,Action,,
2577650,demo,,,
2577660,game,Casual,,
2577680,demo,,,
2577690,game,Adventure,,
2577700,game,Adventure,,
2577730,game,Indie,,
2577750,demo,,,73
2577770,game,Action,,
2577800,demo,,,
2577840,,,,
2577860,game,Adventure,,
2577880,game,,,
2577890,game,Adventure,,
2576910,demo,,,
2576920,dlc,Indie,,
2576930,demo,,,
2576940,dlc,Adventure,,
2576970,demo,,,
2576990,game,Action,,
2577000,demo,,,
2577010,game,Action,,
2577030,demo,,,
2577040,,,,
2577090,game,Action,,
2577110,game,Action,,
2577120,,,,
2577130,game,,,
2577140,game,Casual,,
2577150,game,Action,,
